song_id,song_name,quality,audio_file_id,audio_file_unique_id,image_file_id,image_file_unique_id,album,artist,release_date,duration,download_url,image_url
F_fgk0mb,Katchi Sera,320kbps,CQACAgUAAxkDAAICzWhWC5cAASLZ2pIvJq78Cy8wsMlljgACyxYAAqf0sFY2fb7bBZSihDYE,AgADyxYAAqf0sFY,AgACAgUAAxkDAAIBW2hVl32DCwlEDGD7ywR0FniJkxJSAALWxTEbBiOoVm1zj42iMBQUAQADAgADeAADNgQ,AQAD1sUxGwYjqFZ9,"{'id': '51297594', 'name': 'Katchi Sera from Think Indie', 'url': 'https://www.jiosaavn.com/album/katchi-sera-from-think-indie/rPf80DehViA_'}",,2024-01-22,181,https://aac.saavncdn.com/118/c2dfbaa9abe027aae67e7446579c7d58_320.mp4,
bldS5-36,Minikki Minikki,320kbps,CQACAgUAAxkDAAIC0GhWC7HD3c5CNw3QJ_CJE1_lx6ElAALNFgACp_SwVh0k7e7qJ_2eNgQ,AgADzRYAAqf0sFY,AgACAgUAAxkDAAIBXWhVl4pmBRcoxTYKc_Xzjv5mKUwOAALywzEbp_SwVpPfdl7SY4U3AQADAgADeAADNgQ,AQAD8sMxG6f0sFZ9,"{'id': '57134736', 'name': 'Thangalaan (Original Motion Picture Soundtrack) (Tamil)', 'url': 'https://www.jiosaavn.com/album/thangalaan-original-motion-picture-soundtrack-tamil/5g7SVGaBvq0_'}",,2024-08-14,202,http://aac.saavncdn.com/232/b5457cb3ca14fc8ea0c085ba80a0a15a_320.mp4,
f3Z9Vohz,Whistle Podu,320kbps,CQACAgUAAxkDAAIC1GhWC9wAAdtKawnLFTXsSw77t4oepgAC0BYAAqf0sFYHaRtNVK46yTYE,AgAD0BYAAqf0sFY,AgACAgUAAxkDAAIBX2hVl5M2oMVF3Nt94Jt7U3bQsCYXAALzwzEbp_SwVppbpQAB55hqmgEAAwIAA3gAAzYE,AQAD88MxG6f0sFZ9,"{'id': '57687828', 'name': 'The Greatest Of All Time - (Tamil)', 'url': 'https://www.jiosaavn.com/album/the-greatest-of-all-time-tamil/aO-StDZrm5M_'}",,2024-09-03,281,http://aac.saavncdn.com/829/8a829e03099a158056751615cc6abe91_320.mp4,
OkRQWOUv,Daavudi,320kbps,CQACAgUAAxkDAAIC4mhWDHbBDXaC4H6KumTRAl6BGbjgAALaFgACp_SwVslwyZx-UY6ENgQ,AgAD2hYAAqf0sFY,AgACAgUAAxkDAAIBZWhVl9HDq6qNsiAYjy5e3zCAEc7zAAL1wzEbp_SwVnIDsZnqxuhoAQADAgADeAADNgQ,AQAD9cMxG6f0sFZ9,"{'id': '58371014', 'name': 'Devara Part 1 - Telugu', 'url': 'https://www.jiosaavn.com/album/devara-part-1-telugu/kArqawD7cKk_'}",,2024-09-26,229,http://aac.saavncdn.com/313/3600bf6dd4f580fe5d06ddef64ed6c4e_320.mp4,
iGlEUFsg,Pushpa Pushpa,320kbps,CQACAgUAAxkDAAIC52hWDKyznoYDhJpfPyvh9UlwSq89AALeFgACp_SwVjGSPJD3QrTtNgQ,AgAD3hYAAqf0sFY,AgACAgUAAxkDAAIBZ2hVl96nuTPml8FKm7SuXQeEfAX1AAL2wzEbp_SwVnx2piFckgXEAQADAgADeAADNgQ,AQAD9sMxG6f0sFZ9,"{'id': '60254268', 'name': 'Pushpa 2 The Rule - (Telugu)', 'url': 'https://www.jiosaavn.com/album/pushpa-2-the-rule-telugu/a1ViDuBUzVw_'}",,2024-12-05,256,http://aac.saavncdn.com/366/0377fc358eb812da5d44b215b4bebfb3_320.mp4,
QrQskaov,Koranaaru,320kbps,CQACAgUAAxkDAAIC6mhWDMRIiILVpdwLpBC3bVY35JMGAALgFgACp_SwVnirP01UgLs5NgQ,AgAD4BYAAqf0sFY,AgACAgUAAxkDAAIBaWhVl-u6qJVGyD7mD6nUmTnJjTSAAAL3wzEbp_SwViVMjjmIQi28AQADAgADeAADNgQ,AQAD98MxG6f0sFZ9,"{'id': '54173987', 'name': 'Captain Miller (Tamil)', 'url': 'https://www.jiosaavn.com/album/captain-miller-tamil/22zgRmPw8KA_'}",,2024-05-09,201,https://aac.saavncdn.com/055/14377c5612aaba0438cc8d22ec5a4d35_320.mp4,
C9thZ3bZ,En Rojaa Neeye,320kbps,CQACAgUAAxkDAAIC7mhWDOpQOhq6IUumZFTYb96YzUjjAALjFgACp_SwVqgN083CmE1zNgQ,AgAD4xYAAqf0sFY,AgACAgUAAxkDAAIBa2hVl_YlqtskJlMI7Z2pBxxnOeLHAAL4wzEbp_SwVmWq34ATkZMVAQADAgADeAADNgQ,AQAD-MMxG6f0sFZ9,"{'id': '53849972', 'name': 'Kushi (Tamil)', 'url': 'https://www.jiosaavn.com/album/kushi-tamil/cXlsjrBifZY_'}",,2023-08-29,243,http://aac.saavncdn.com/683/b9c5368d21c6cab0efe4cf6a05d02f38_320.mp4,
PzSWB1We,Vennilavu Saaral,320kbps,CQACAgUAAxkDAAIC8WhWDQNKTzd9tkuGZ4wD-_q-508qAALlFgACp_SwVvGS9GhtNWoqNgQ,AgAD5RYAAqf0sFY,AgACAgUAAxkDAAIBV2hVl10fVHH6Mq_1Nw9RBbQcd0I2AALwwzEbp_SwVpwOsu7jynW4AQADAgADeAADNgQ,AQAD8MMxG6f0sFZ9,"{'id': '59686460', 'name': 'Amaran (Tamil)', 'url': 'https://www.jiosaavn.com/album/amaran-tamil/1UAPmdKIIrw_'}",,2024-11-16,213,http://aac.saavncdn.com/872/5f2576ca5d42de6dba847c43f2a0e020_320.mp4,
3EpFxAYh,Paththavaikkum,320kbps,CQACAgUAAxkDAAIC9mhWDUREPeTmprpK_oSBr4da55k9AALpFgACp_SwVvxJeA1Q3mHGNgQ,AgAD6RYAAqf0sFY,AgACAgUAAxkDAAIBb2hVmBRPNeLAd7QIHoYRprlbGX8AA_nDMRun9LBWxnN3aFhFuQABAQADAgADeAADNgQ,AQAD-cMxG6f0sFZ9,"{'id': '58371017', 'name': 'Devara Part 1 - Tamil', 'url': 'https://www.jiosaavn.com/album/devara-part-1-tamil/LSqSMeAG-9k_'}",,2024-09-26,222,http://aac.saavncdn.com/320/d89acd607ef0f7f3248ae220c0961b12_320.mp4,
yBmo2qWU,Uyirey,320kbps,CQACAgUAAxkDAAIC-2hWDX8mSjKHJT3l68T9aIFfUVZ7AALtFgACp_SwVr8WsJJ3fghvNgQ,AgAD7RYAAqf0sFY,AgACAgUAAxkDAAIBV2hVl10fVHH6Mq_1Nw9RBbQcd0I2AALwwzEbp_SwVpwOsu7jynW4AQADAgADeAADNgQ,AQAD8MMxG6f0sFZ9,"{'id': '59686460', 'name': 'Amaran (Tamil)', 'url': 'https://www.jiosaavn.com/album/amaran-tamil/1UAPmdKIIrw_'}",,2024-11-16,210,https://aac.saavncdn.com/872/e83e4b73ae86404e9a2bc49e1022160c_320.mp4,
